epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5151.7,1.03896,0.68452,1.13014,0.83324,0.74192,0.79316,0.47019,1.38242,0.86368,1.34065,0.000247716,0.000247716,0.000247716
88,5210.4,1.04062,0.69344,1.12955,0.85575,0.75256,0.79632,0.477,1.36786,0.86642,1.33604,0.000231213,0.000231213,0.000231213
89,5272.18,1.05254,0.69432,1.146,0.84563,0.76366,0.80165,0.4779,1.35773,0.85904,1.33346,0.00021471,0.00021471,0.00021471
90,5331.59,1.03476,0.651,1.09896,0.87277,0.76421,0.81836,0.48716,1.31605,0.84691,1.29692,0.000198206,0.000198206,0.000198206
91,5388.18,1.03685,0.69223,1.13395,0.87615,0.76205,0.81361,0.48747,1.32974,0.862,1.30127,0.000181703,0.000181703,0.000181703
92,5445.65,1.02104,0.67065,1.13238,0.85978,0.75372,0.80502,0.48386,1.34289,0.87572,1.31572,0.0001652,0.0001652,0.0001652
93,5503.27,1.01103,0.66014,1.12699,0.86494,0.75624,0.80477,0.47903,1.33948,0.87668,1.32341,0.000148696,0.000148696,0.000148696
94,5561.43,1.01293,0.66034,1.1295,0.90166,0.74529,0.81256,0.48761,1.32524,0.85728,1.32634,0.000132193,0.000132193,0.000132193
95,5618.96,0.98798,0.63126,1.09291,0.90496,0.75071,0.81256,0.48713,1.32625,0.84556,1.32688,0.00011569,0.00011569,0.00011569
96,5675.72,0.98792,0.62827,1.10529,0.87418,0.74248,0.80885,0.47755,1.34569,0.85723,1.33907,9.91865e-05,9.91865e-05,9.91865e-05
97,5734.1,0.98979,0.62442,1.1082,0.85669,0.7538,0.80542,0.4818,1.33589,0.86215,1.33062,8.26832e-05,8.26832e-05,8.26832e-05
98,5796.25,0.97536,0.62605,1.11531,0.84946,0.75372,0.80495,0.48186,1.33296,0.85689,1.33384,6.61799e-05,6.61799e-05,6.61799e-05
99,5856.65,0.96881,0.62428,1.11047,0.85877,0.76193,0.8104,0.48391,1.32996,0.8573,1.33434,4.96766e-05,4.96766e-05,4.96766e-05
100,5917.58,0.97532,0.62001,1.08099,0.85118,0.76743,0.81031,0.4855,1.32926,0.855,1.33355,3.31733e-05,3.31733e-05,3.31733e-05
